"Date","Price","Open","High","Low","Vol.","Change %"
"23/01/2024","1.5193","1.5221","1.5267","1.5120","","-0.16%"
"22/01/2024","1.5218","1.5169","1.5232","1.5118","","0.42%"
"19/01/2024","1.5154","1.5215","1.5234","1.5145","","-0.37%"
"18/01/2024","1.5211","1.5260","1.5324","1.5206","","-0.29%"
"17/01/2024","1.5256","1.5189","1.5326","1.5162","","0.47%"
"16/01/2024","1.5184","1.5014","1.5207","1.5002","","1.15%"
"15/01/2024","1.5011","1.4949","1.5039","1.4912","","0.38%"
"12/01/2024","1.4954","1.4958","1.4977","1.4859","","0.03%"
"11/01/2024","1.4950","1.4935","1.5046","1.4867","","0.19%"
"10/01/2024","1.4921","1.4955","1.4973","1.4893","","-0.19%"
"09/01/2024","1.4950","1.4882","1.4978","1.4847","","0.48%"
"08/01/2024","1.4879","1.4881","1.4978","1.4847","","-0.09%"
"05/01/2024","1.4892","1.4901","1.5061","1.4817","","-0.09%"
"04/01/2024","1.4905","1.4859","1.4936","1.4790","","0.37%"
"03/01/2024","1.4850","1.4782","1.4922","1.4767","","0.43%"
"02/01/2024","1.4786","1.4674","1.4802","1.4619","","0.74%"
"01/01/2024","1.4678","1.4682","1.4695","1.4659","","-0.01%"
"29/12/2023","1.4680","1.4641","1.4748","1.4604","","0.28%"
"28/12/2023","1.4639","1.4605","1.4655","1.4551","","0.26%"
"27/12/2023","1.4601","1.4656","1.4668","1.4593","","-0.35%"
"26/12/2023","1.4652","1.4683","1.4721","1.4647","","-0.39%"
"25/12/2023","1.4710","1.4715","1.4766","1.4676","","0.04%"
"22/12/2023","1.4704","1.4701","1.4766","1.4650","","0.03%"
"21/12/2023","1.4699","1.4857","1.4870","1.4696","","-1.04%"
"20/12/2023","1.4854","1.4784","1.4874","1.4748","","0.46%"
"19/12/2023","1.4786","1.4905","1.4927","1.4759","","-0.82%"
"18/12/2023","1.4908","1.4925","1.4949","1.4844","","-0.15%"
"15/12/2023","1.4930","1.4926","1.5009","1.4860","","0.06%"
"14/12/2023","1.4921","1.5011","1.5030","1.4860","","-0.57%"
"13/12/2023","1.5006","1.5248","1.5290","1.4983","","-1.56%"
"12/12/2023","1.5244","1.5224","1.5292","1.5122","","0.14%"
"11/12/2023","1.5223","1.5197","1.5269","1.5185","","0.16%"
"08/12/2023","1.5198","1.5152","1.5250","1.5103","","0.37%"
"07/12/2023","1.5142","1.5267","1.5326","1.5105","","-0.82%"
"06/12/2023","1.5267","1.5263","1.5276","1.5155","","0.05%"
"05/12/2023","1.5260","1.5105","1.5282","1.5091","","1.02%"
"04/12/2023","1.5106","1.4995","1.5143","1.4943","","0.85%"
"01/12/2023","1.4979","1.5138","1.5155","1.4975","","-1.05%"
"30/11/2023","1.5138","1.5111","1.5220","1.5034","","0.20%"
"29/11/2023","1.5108","1.5041","1.5139","1.4976","","0.47%"
"28/11/2023","1.5038","1.5139","1.5162","1.5000","","-0.63%"
"27/11/2023","1.5133","1.5195","1.5230","1.5118","","-0.38%"
"24/11/2023","1.5191","1.5254","1.5270","1.5170","","-0.36%"
"23/11/2023","1.5246","1.5284","1.5292","1.5206","","-0.25%"
"22/11/2023","1.5284","1.5254","1.5335","1.5220","","0.20%"
"21/11/2023","1.5253","1.5256","1.5282","1.5174","","0.01%"
"20/11/2023","1.5251","1.5360","1.5385","1.5230","","-0.72%"
"17/11/2023","1.5361","1.5463","1.5501","1.5345","","-0.58%"
"16/11/2023","1.5451","1.5366","1.5481","1.5342","","0.57%"
"15/11/2023","1.5363","1.5371","1.5427","1.5284","","-0.02%"
"14/11/2023","1.5366","1.5682","1.5724","1.5352","","-2.00%"
"13/11/2023","1.5679","1.5743","1.5757","1.5642","","-0.18%"
"10/11/2023","1.5708","1.5705","1.5777","1.5690","","0.01%"
"09/11/2023","1.5706","1.5613","1.5716","1.5554","","0.56%"
"08/11/2023","1.5618","1.5547","1.5634","1.5503","","0.58%"
"07/11/2023","1.5528","1.5410","1.5617","1.5380","","0.78%"
"06/11/2023","1.5408","1.5364","1.5422","1.5328","","0.35%"
"03/11/2023","1.5354","1.5543","1.5578","1.5338","","-1.20%"
"02/11/2023","1.5540","1.5641","1.5653","1.5486","","-0.64%"
"01/11/2023","1.5640","1.5783","1.5829","1.5623","","-0.87%"
"31/10/2023","1.5778","1.5692","1.5839","1.5678","","0.60%"
"30/10/2023","1.5684","1.5770","1.5795","1.5662","","-0.64%"
"27/10/2023","1.5785","1.5812","1.5825","1.5700","","-0.21%"
"26/10/2023","1.5818","1.5852","1.5950","1.5793","","-0.20%"
"25/10/2023","1.5850","1.5735","1.5862","1.5623","","0.74%"
"24/10/2023","1.5733","1.5780","1.5796","1.5673","","-0.27%"
"23/10/2023","1.5775","1.5827","1.5902","1.5748","","-0.33%"
"20/10/2023","1.5828","1.5801","1.5882","1.5789","","0.19%"
"19/10/2023","1.5798","1.5785","1.5886","1.5730","","0.11%"
"18/10/2023","1.5780","1.5714","1.5804","1.5639","","0.44%"
"17/10/2023","1.5711","1.5770","1.5788","1.5672","","-0.33%"
"16/10/2023","1.5763","1.5871","1.5890","1.5758","","-0.81%"
"13/10/2023","1.5891","1.5838","1.5909","1.5785","","0.35%"
"12/10/2023","1.5835","1.5591","1.5857","1.5547","","1.57%"
"11/10/2023","1.5591","1.5547","1.5656","1.5513","","0.28%"
"10/10/2023","1.5547","1.5596","1.5650","1.5542","","-0.33%"
"09/10/2023","1.5598","1.5721","1.5766","1.5589","","-0.41%"
"06/10/2023","1.5662","1.5699","1.5842","1.5623","","-0.22%"
"05/10/2023","1.5696","1.5812","1.5829","1.5677","","-0.72%"
"04/10/2023","1.5810","1.5867","1.5909","1.5764","","-0.35%"
"03/10/2023","1.5865","1.5716","1.5912","1.5703","","0.97%"
"02/10/2023","1.5713","1.5550","1.5719","1.5513","","1.13%"
